77921229,URAsg,friends,165,22563,200,13811,Mon Sep 28 04:10:16 +0000 2009,https://t.co/5Qx7Mtq1WJ,,Singapore
87096507,Singapore_HDB,friends,34,45761,180,3343,Tue Nov 03 03:12:26 +0000 2009,http://t.co/FSp7mL83RN,,Singapore
38140836,SingaporePolice,friends,34,144689,303,5304,Wed May 06 08:31:06 +0000 2009,http://t.co/hGqnmWDhnp,,Singapore
571202103,Medium,friends,91,2329462,12133,17706,Fri May 04 20:16:39 +0000 2012,https://t.co/JV5396gd2O,,San Francisco  CA  US
123167035,GovTechSG,friends,256,29380,422,6445,Mon Mar 15 06:24:51 +0000 2010,https://t.co/5MlevX0ely,,Singapore
2280275804,STreporters,friends,24,40,0,18,Tue Jan 07 08:20:53 +0000 2014,http://t.co/LMX4KIaPVi,,
2316141870,STsumikotan,friends,33,4616,39,204,Tue Jan 28 22:28:47 +0000 2014,https://t.co/1R8VMFJYQp,,Singapore
2325088159,STmariaalmenoar,friends,28,862,19,81,Mon Feb 03 08:16:24 +0000 2014,http://t.co/5O3AGqbXCA,,Singapore 
1283519118,STignatiuslow,friends,18,154,5,0,Wed Mar 20 15:18:50 +0000 2013,,,
2360427883,STvideonews,friends,22,4267,14,752,Tue Feb 25 03:22:39 +0000 2014,http://t.co/yIaCuDoDvh,,
2340097333,STmarclim,friends,26,1110,10,172,Wed Feb 12 10:07:39 +0000 2014,,,
382552204,tdy_T,friends,2,21394,164,14165,Fri Sep 30 08:27:07 +0000 2011,https://t.co/Ko7sTQBm98,,Singapore
2373318866,theSTeditor,friends,363,2421,48,200,Wed Mar 05 07:10:37 +0000 2014,http://t.co/yIaCuDoDvh,,Singapore
16735476,tm_insider,friends,15,233252,1338,235670,Tue Oct 14 08:35:04 +0000 2008,https://t.co/FDVIxmNcoP,,KL
1642135962,BBCNewsAsia,friends,252,184120,2834,37217,Sat Aug 03 05:59:07 +0000 2013,https://t.co/Jsiyf9CF4L,,Singapore
19106719,MAS,friends,378,1621790,3132,31958,Sat Jan 17 10:21:48 +0000 2009,http://t.co/KzzyUBuXED,,Kuala Lumpur  Malaysia
134196350,flightradar24,friends,544,389220,4110,25909,Sat Apr 17 18:27:21 +0000 2010,http://t.co/lEiMiBrCZi,,Stockholm  Sweden
16389180,NajibRazak,friends,156,3815012,4688,11799,Sun Sep 21 09:43:59 +0000 2008,http://t.co/KHodQw77Ho,,Malaysia
132630648,HishammuddinH2O,friends,997,881178,747,51354,Tue Apr 13 19:25:39 +0000 2010,https://t.co/hgI3yYeTk9,,Malaysia
